Estable,Prov_ubi,Cant_ubi,Parr_ubi,Clase,Tipo,Entidad,Sector,Farm,,,idCanton,idParroquia,,,idCanton,idParroquia
2,1,101,10150,12,3,18,2,0,,,01,50,,01,1,50
3,1,101,10150,12,3,18,2,1,,,01,50,,01,1,50
4,1,101,10150,12,3,18,2,1,,,01,50,,01,1,50
6,1,101,10150,2,1,1,1,1,,,01,50,,01,1,50
7,1,101,10150,11,1,6,1,1,,,01,50,,01,1,50
8,1,101,10150,2,1,3,1,1,,,01,50,,01,1,50
10,1,101,10150,1,5,1,1,1,,,01,50,,01,1,50
11,1,101,10150,6,2,17,3,1,,,01,50,,01,1,50
12,1,102,10250,1,5,1,1,1,,,02,50,,02,2,50
13,1,103,10350,1,5,1,1,1,,,03,50,,03,3,50
14,1,108,10850,1,5,1,1,1,,,08,50,,08,8,50
15,1,109,10950,1,5,1,1,1,,,09,50,,09,9,50
16,1,105,10550,1,5,1,1,1,,,05,50,,05,5,50
17,1,101,10150,12,3,18,2,0,,,01,50,,01,1,50
18,1,101,10150,12,3,18,2,1,,,01,50,,01,1,50
19,1,101,10150,12,3,18,2,0,,,01,50,,01,1,50
21,1,103,10350,12,3,18,2,1,,,03,50,,03,3,50
28,1,101,10150,12,3,18,2,0,,,01,50,,01,1,50
31,1,101,10150,12,3,17,3,1,,,01,50,,01,1,50
32,1,101,10150,12,3,18,2,1,,,01,50,,01,1,50
34,1,101,10150,12,3,18,2,1,,,01,50,,01,1,50
35,1,101,10150,23,4,1,1,1,,,01,50,,01,1,50
36,1,101,10150,22,4,1,1,1,,,01,50,,01,1,50
37,1,101,10150,22,4,1,1,1,,,01,50,,01,1,50
38,1,101,10157,21,4,1,1,1,,,01,57,,01,1,57
39,1,101,10154,21,4,1,1,0,,,01,54,,01,1,54
40,1,101,10161,21,4,1,1,1,,,01,61,,01,1,61
41,1,101,10166,21,4,1,1,1,,,01,66,,01,1,66
42,1,101,10158,21,4,1,1,0,,,01,58,,01,1,58
44,1,101,10152,21,4,1,1,0,,,01,52,,01,1,52
45,1,101,10153,21,4,1,1,0,,,01,53,,01,1,53
46,1,101,10162,21,4,1,1,1,,,01,62,,01,1,62
47,1,101,10167,21,4,1,1,1,,,01,67,,01,1,67
48,1,101,10168,21,4,1,1,1,,,01,68,,01,1,68
49,1,104,10450,22,4,1,1,1,,,04,50,,04,4,50
50,1,110,11050,22,4,1,1,1,,,10,50,,10,10,50
